"true_N","true_ICC","true_AR1","true_event_rate","signal_mode","n_events","actual_event_rate","regen","empirical_icc","empirical_ar1","naive_mean","naive_sd","s10_mean","s10_sd","s5_mean","loco_auroc","true_auroc","optimism_naive_true","resid_s10_true","resid_s5_true","resid_loco_true","optimism_naive_loco","dev_s10_loco","fit_status","folds_ok","flagged","naive_reps_valid","s10_reps_valid","s5_reps_valid","loco_valid"
20,0.1,0.5,0.2,"baseline",3,0.15,0,0.111186300199169,0.452728275517794,0.864705882352941,0.00620054443170268,0.556862745098039,0.0661391406048289,0.574509803921569,0.509803921568627,0.545020191793784,0.319685690559158,0.0118425533042555,0.0294896121277849,-0.0352162702251563,0.354901960784314,0.0470588235294118,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",4,0.2,0,0.111186300199169,0.452728275517794,0.9109375,0.0105460712142274,0.7953125,0.0392875461784294,0.7953125,0.8125,0.571770004686968,0.339167495313032,0.223542495313032,0.223542495313032,0.240729995313032,0.0984375,-0.0171875,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"baseline",7,0.35,1,0.116361045536435,0.470322128987264,0.731868131868132,0.0173364975328926,0.648351648351648,0.0306468874188306,0.640659340659341,0.681318681318681,0.509330492885183,0.222537638982949,0.139021155466465,0.131328847774158,0.171988188433498,0.0505494505494505,-0.032967032967033,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",7,0.35,1,0.116361045536435,0.470322128987264,0.731868131868132,0.0173364975328926,0.648351648351648,0.0306468874188306,0.640659340659341,0.681318681318681,0.501267157309977,0.230600974558155,0.147084491041671,0.139392183349364,0.180051524008704,0.0505494505494505,-0.032967032967033,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"baseline",8,0.4,0,0.142785247735061,0.455553148412671,0.76875,0.00658807845868415,0.523958333333333,0.0399079042033184,0.507291666666667,0.5,0.541778604394847,0.226971395605153,-0.0178202710615141,-0.0344869377281807,-0.0417786043948474,0.26875,0.0239583333333333,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",7,0.35,0,0.142785247735061,0.455553148412671,0.810989010989011,0.00695006079157883,0.562637362637363,0.0700390822137267,0.572527472527472,0.538461538461538,0.56873913700597,0.242249873983041,-0.00610177436860726,0.00378833552150259,-0.0302775985444315,0.272527472527473,0.0241758241758242,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"baseline",3,0.15,0,0.094783423926292,0.480425803820954,0.868627450980392,0.00947148806940488,0.952941176470588,0.0405017866270057,0.896078431372549,1,0.498714188755845,0.369913262224547,0.454226987714743,0.397364242616704,0.501285811244155,-0.131372549019608,-0.0470588235294118,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",3,0.15,0,0.094783423926292,0.480425803820954,0.868627450980392,0.00947148806940488,0.952941176470588,0.0405017866270057,0.896078431372549,1,0.521540215118769,0.347087235861623,0.431400961351819,0.37453821625378,0.478459784881231,-0.131372549019608,-0.0470588235294118,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"baseline",5,0.25,0,0.123480526517137,0.474392775430288,0.68,0.0188561808316413,0.772,0.0419052429024824,0.76,0.786666666666667,0.533540974673613,0.146459025326387,0.238459025326388,0.226459025326388,0.253125691993054,-0.106666666666667,-0.0146666666666666,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",5,0.25,0,0.123480526517137,0.474392775430288,0.68,0.0188561808316413,0.772,0.0419052429024824,0.76,0.786666666666667,0.552602481861213,0.127397518138787,0.219397518138787,0.207397518138787,0.234064184805453,-0.106666666666667,-0.0146666666666666,"ok",TRUE,FALSE,10,10,10,TRUE
